,University,Grade,Province,Modality,Public/Private,Duration,Cost
0,Universitat Autònoma de Barcelona,"13,310",Barcelona,Presencial,Universidad Pública,"5,0 años",2.146 €
1,Universitat de Barcelona,"13,067",Barcelona,Presencial,Universidad Pública,"5,0 años",2.275 €
2,Universitat Politècnica de Catalunya,"12,690",Barcelona,Presencial,Universidad Pública,"4,0 años",2.372 €
3,Universitat de Barcelona,"12,640",Barcelona,Presencial,Universidad Pública,"6,0 años",2.372 €
4,Universitat Pompeu Fabra,"12,596",Barcelona,Presencial,Universidad Pública,"4,0 años",1.516 €
5,Universitat Pompeu Fabra,"12,422",Barcelona,Presencial,Universidad Pública,"6,0 años",2.513 €
6,Universitat Autònoma de Barcelona,"12,410",Barcelona,Presencial,Universidad Pública,"5,0 años",2.146 €
7,Universitat Politècnica de Catalunya,"12,380",Barcelona,Presencial,Universidad Pública,"4,0 años",2.146 €
8,Universitat de Barcelona,"12,362",Barcelona,Presencial,Universidad Pública,"6,0 años",2.372 €
9,Universitat Rovira i Virgili,"12,290",Tarragona,Presencial,Universidad Pública,"5,0 años",no disponible
10,Universitat Pompeu Fabra,"12,240",Barcelona,Presencial,Universidad Pública,"4,0 años",1.657 €
11,Universitat Autònoma de Barcelona,"12,202",Barcelona,Presencial,Universidad Pública,"6,0 años",2.372 €
12,Universitat Pompeu Fabra,"12,188",Barcelona,Presencial,Universidad Pública,"3,0 años",1.800 €
13,Universitat de Girona,"12,140",Girona,Presencial,Universidad Pública,"6,0 años",2.372 €
14,Universitat de Barcelona,"12,116",Barcelona,Presencial,Universidad Pública,"4,0 años",2.372 €
15,Universitat Politècnica de Catalunya,"12,114",Barcelona,Presencial,Universidad Pública,"4,0 años",2.372 €
16,Universitat de Lleida,"12,110",LLeida,Presencial,Universidad Pública,"6,0 años",2.372 €
17,Universitat Rovira i Virgili,"12,080",Tarragona,Presencial,Universidad Pública,"6,0 años",2.372 €
18,Universitat Autònoma de Barcelona,"12,044",Barcelona,Presencial,Universidad Pública,"4,0 años",2.372 €
19,Universitat de Barcelona,"11,980",Barcelona,Presencial,Universidad Pública,"4,0 años",2.372 €
20,Universitat Pompeu Fabra,"11,862",Barcelona,Presencial,Universidad Pública,"4,0 años",2.513 €
21,Universitat Pompeu Fabra,"11,800",Barcelona,Presencial,Universidad Pública,"5,0 años",2.743 €
22,Universitat Pompeu Fabra,"11,790",Barcelona,Presencial,Universidad Pública,"4,0 años",2.287 €
23,Universitat de Girona,"11,750",Girona,Presencial,Universidad Pública,"5,0 años",no disponible
24,Universitat de Barcelona,"11,736",Barcelona,Presencial,Universidad Pública,"5,0 años",2.275 €
25,Universitat Politècnica de Catalunya,"11,660",Barcelona,Presencial,Universidad Pública,"4,0 años",2.372 €
26,Universitat de Barcelona,"11,644",Barcelona,Presencial,Universidad Pública,"6,0 años",2.343 €
27,Universitat de Barcelona,"11,580",Barcelona,Presencial,Universidad Pública,"4,0 años",2.146 €
28,Universitat Pompeu Fabra,"11,567",Barcelona,Presencial,Universidad Pública,"4,0 años",2.512 €
29,Universitat Autònoma de Barcelona,"11,550",Barcelona,Presencial,Universidad Pública,"4,0 años",2.146 €
30,Universitat Autònoma de Barcelona,"11,444",Barcelona,Presencial,Universidad Pública,"5,0 años",2.372 €
31,Universitat de Barcelona,"11,389",Barcelona,Presencial,Universidad Pública,"5,0 años",2.372 €
32,Universitat de Barcelona,"11,378",Barcelona,Presencial,Universidad Pública,"4,0 años",2.146 €
33,Universitat Pompeu Fabra,"11,370",Barcelona,Presencial,Universidad Pública,"4,0 años",2.287 €
34,Universitat Pompeu Fabra,"11,336",Barcelona,Presencial,Universidad Pública,"5,0 años",2.743 €
35,Universitat de Lleida,"11,196",LLeida,Presencial,Universidad Pública,"4,0 años",2.372 €
36,Universitat de Barcelona,"11,190",Barcelona,Presencial,Universidad Pública,"4,0 años",2.146 €
37,Universitat Pompeu Fabra,"11,190",Barcelona,Presencial,Universidad Pública,"4,0 años",2.287 €
38,Universitat de Barcelona,"11,150",Barcelona,Presencial,Universidad Pública,"4,0 años",2.372 €
39,Universitat Pompeu Fabra,"11,132",Barcelona,Presencial,Universidad Pública,"4,0 años",1.137 €
40,Universitat de Barcelona,"11,020",Barcelona,Presencial,Universidad Pública,"4,0 años",2.146 €
41,Universitat Autònoma de Barcelona,"10,966",Barcelona,Presencial,Universidad Pública,"4,0 años",2.146 €
42,Universitat Autònoma de Barcelona,"10,963",Barcelona,Presencial,Universidad Pública,"4,0 años",2.146 €
43,Universitat Autònoma de Barcelona,"10,900",Barcelona,Presencial,Universidad Pública,"4,0 años",2.146 €
44,Universitat Rovira i Virgili,"10,895",Tarragona,Presencial,Universidad Pública,"4,0 años",2.146 €
45,Universitat de Lleida,"10,806",LLeida,Presencial,Universidad Pública,"5,0 años",2.965 €
46,Universitat de Barcelona,"10,788",Barcelona,Presencial,Universidad Pública,"5,0 años",1.668 €
47,Universitat Politècnica de Catalunya,"10,746",Barcelona,Presencial,Universidad Pública,"4,0 años",2.431 €
48,Universitat Autònoma de Barcelona,"10,724",Barcelona,Presencial,Universidad Pública,"4,0 años",2.146 €
49,Universitat Politècnica de Catalunya,"10,690",Barcelona,Presencial,Universidad Pública,"4,0 años",2.431 €
